Province,Population
"<a href=""/wiki/Ontario"" title=""Ontario"">Ontario</a>","13,448,494"
"<a href=""/wiki/Quebec"" title=""Quebec"">Quebec</a>","908,699.33"
"<a href=""/wiki/British_Columbia"" title=""British Columbia"">British Columbia</a>","14,915,270"
"<a href=""/wiki/Alberta"" title=""Alberta"">Alberta</a>","8,164,361"
"<a href=""/wiki/Manitoba"" title=""Manitoba"">Manitoba</a>","1,356,625.27"
"<a href=""/wiki/Saskatchewan"" title=""Saskatchewan"">Saskatchewan</a>","8,631,147"
"<a href=""/wiki/Nova_Scotia"" title=""Nova Scotia"">Nova Scotia</a>","4,648,055"
"<a href=""/wiki/New_Brunswick"" title=""New Brunswick"">New Brunswick</a>","922,503.01"
"<a href=""/wiki/Newfoundland_and_Labrador"" title=""Newfoundland and Labrador"">Newfoundland and Labrador</a>","5,249,635"
"<a href=""/wiki/Prince_Edward_Island"" title=""Prince Edward Island"">Prince Edward Island</a>","4,067,175"
"<a href=""/wiki/Northwest_Territories"" title=""Northwest Territories"">Northwest Territories</a>","640,330.46"
"<a href=""/wiki/Nunavut"" title=""Nunavut"">Nunavut</a>","4,464,170"
"<a href=""/wiki/Yukon"" title=""Yukon"">Yukon</a>","1,278,365"
